date,tournament,year,round,team_a,team_b,score_a,score_b,ft_goals1,ft_goals2,penalty1,penalty2,result,group,ground,total_goals,goal_difference
6/11/2010,World Cup,2010,Matchday 1,South Africa,Mexico,1,1,1,1,,,Draw,Group A,"Soccer City, Johannesburg",2,0
6/11/2010,World Cup,2010,Matchday 1,Uruguay,France,0,0,0,0,,,Draw,Group A,"Cape Town Stadium, Cape Town",0,0
6/16/2010,World Cup,2010,Matchday 6,South Africa,Uruguay,0,3,0,3,,,Team B Win,Group A,"Loftus Versfeld Stadium, Pretoria",3,-3
6/17/2010,World Cup,2010,Matchday 7,France,Mexico,0,2,0,2,,,Team B Win,Group A,"Peter Mokaba Stadium, Polokwane",2,-2
6/22/2010,World Cup,2010,Matchday 12,Mexico,Uruguay,0,1,0,1,,,Team B Win,Group A,"Royal Bafokeng Stadium, Rustenburg",1,-1
6/22/2010,World Cup,2010,Matchday 12,France,South Africa,1,2,1,2,,,Team B Win,Group A,"Free State Stadium, Bloemfontein",3,-1
6/12/2010,World Cup,2010,Matchday 2,South Korea,Greece,2,0,2,0,,,Team A Win,Group B,"Nelson Mandela Bay Stadium, Port Elizabeth",2,2
6/12/2010,World Cup,2010,Matchday 2,Argentina,Nigeria,1,0,1,0,,,Team A Win,Group B,"Ellis Park Stadium, Johannesburg",1,1
6/17/2010,World Cup,2010,Matchday 7,Argentina,South Korea,4,1,4,1,,,Team A Win,Group B,"Soccer City, Johannesburg",5,3
6/17/2010,World Cup,2010,Matchday 7,Greece,Nigeria,2,1,2,1,,,Team A Win,Group B,"Free State Stadium, Bloemfontein",3,1
6/22/2010,World Cup,2010,Matchday 12,Nigeria,South Korea,2,2,2,2,,,Draw,Group B,"Moses Mabhida Stadium, Durban",4,0
6/22/2010,World Cup,2010,Matchday 12,Greece,Argentina,0,2,0,2,,,Team B Win,Group B,"Peter Mokaba Stadium, Polokwane",2,-2
6/12/2010,World Cup,2010,Matchday 2,England,USA,1,1,1,1,,,Draw,Group C,"Royal Bafokeng Stadium, Rustenburg",2,0
6/13/2010,World Cup,2010,Matchday 3,Algeria,Slovenia,0,1,0,1,,,Team B Win,Group C,"Peter Mokaba Stadium, Polokwane",1,-1
6/18/2010,World Cup,2010,Matchday 8,Slovenia,USA,2,2,2,2,,,Draw,Group C,"Ellis Park Stadium, Johannesburg",4,0
6/18/2010,World Cup,2010,Matchday 8,England,Algeria,0,0,0,0,,,Draw,Group C,"Cape Town Stadium, Cape Town",0,0
6/23/2010,World Cup,2010,Matchday 13,USA,Algeria,1,0,1,0,,,Team A Win,Group C,"Loftus Versfeld Stadium, Pretoria",1,1
6/23/2010,World Cup,2010,Matchday 13,Slovenia,England,0,1,0,1,,,Team B Win,Group C,"Nelson Mandela Bay Stadium, Port Elizabeth",1,-1
6/13/2010,World Cup,2010,Matchday 3,Serbia,Ghana,0,1,0,1,,,Team B Win,Group D,"Loftus Versfeld Stadium, Pretoria",1,-1
6/13/2010,World Cup,2010,Matchday 3,Germany,Australia,4,0,4,0,,,Team A Win,Group D,"Moses Mabhida Stadium, Durban",4,4
6/18/2010,World Cup,2010,Matchday 8,Germany,Serbia,0,1,0,1,,,Team B Win,Group D,"Nelson Mandela Bay Stadium, Port Elizabeth",1,-1
6/19/2010,World Cup,2010,Matchday 9,Ghana,Australia,1,1,1,1,,,Draw,Group D,"Royal Bafokeng Stadium, Rustenburg",2,0
6/23/2010,World Cup,2010,Matchday 13,Australia,Serbia,2,1,2,1,,,Team A Win,Group D,"Mbombela Stadium, Nelspruit",3,1
6/23/2010,World Cup,2010,Matchday 13,Ghana,Germany,0,1,0,1,,,Team B Win,Group D,"Soccer City, Johannesburg",1,-1
6/14/2010,World Cup,2010,Matchday 4,Netherlands,Denmark,2,0,2,0,,,Team A Win,Group E,"Soccer City, Johannesburg",2,2
6/14/2010,World Cup,2010,Matchday 4,Japan,Cameroon,1,0,1,0,,,Team A Win,Group E,"Free State Stadium, Bloemfontein",1,1
6/19/2010,World Cup,2010,Matchday 9,Netherlands,Japan,1,0,1,0,,,Team A Win,Group E,"Moses Mabhida Stadium, Durban",1,1
6/19/2010,World Cup,2010,Matchday 9,Cameroon,Denmark,1,2,1,2,,,Team B Win,Group E,"Loftus Versfeld Stadium, Pretoria",3,-1
6/24/2010,World Cup,2010,Matchday 14,Denmark,Japan,1,3,1,3,,,Team B Win,Group E,"Royal Bafokeng Stadium, Rustenburg",4,-2
6/24/2010,World Cup,2010,Matchday 14,Cameroon,Netherlands,1,2,1,2,,,Team B Win,Group E,"Cape Town Stadium, Cape Town",3,-1
6/14/2010,World Cup,2010,Matchday 4,Italy,Paraguay,1,1,1,1,,,Draw,Group F,"Cape Town Stadium, Cape Town",2,0
6/15/2010,World Cup,2010,Matchday 5,New Zealand,Slovakia,1,1,1,1,,,Draw,Group F,"Royal Bafokeng Stadium, Rustenburg",2,0
6/20/2010,World Cup,2010,Matchday 10,Slovakia,Paraguay,0,2,0,2,,,Team B Win,Group F,"Free State Stadium, Bloemfontein",2,-2
6/20/2010,World Cup,2010,Matchday 10,Italy,New Zealand,1,1,1,1,,,Draw,Group F,"Mbombela Stadium, Nelspruit",2,0
6/24/2010,World Cup,2010,Matchday 14,Slovakia,Italy,3,2,3,2,,,Team A Win,Group F,"Ellis Park Stadium, Johannesburg",5,1
6/24/2010,World Cup,2010,Matchday 14,Paraguay,New Zealand,0,0,0,0,,,Draw,Group F,"Peter Mokaba Stadium, Polokwane",0,0
6/15/2010,World Cup,2010,Matchday 5,Côte d'Ivoire,Portugal,0,0,0,0,,,Draw,Group G,"Nelson Mandela Bay Stadium, Port Elizabeth",0,0
6/15/2010,World Cup,2010,Matchday 5,Brazil,North Korea,2,1,2,1,,,Team A Win,Group G,"Ellis Park Stadium, Johannesburg",3,1
6/20/2010,World Cup,2010,Matchday 10,Brazil,Côte d'Ivoire,3,1,3,1,,,Team A Win,Group G,"Soccer City, Johannesburg",4,2
6/21/2010,World Cup,2010,Matchday 11,Portugal,North Korea,7,0,7,0,,,Team A Win,Group G,"Cape Town Stadium, Cape Town",7,7
6/25/2010,World Cup,2010,Matchday 15,Portugal,Brazil,0,0,0,0,,,Draw,Group G,"Moses Mabhida Stadium, Durban",0,0
6/25/2010,World Cup,2010,Matchday 15,North Korea,Côte d'Ivoire,0,3,0,3,,,Team B Win,Group G,"Mbombela Stadium, Nelspruit",3,-3
6/16/2010,World Cup,2010,Matchday 6,Honduras,Chile,0,1,0,1,,,Team B Win,Group H,"Mbombela Stadium, Nelspruit",1,-1
6/16/2010,World Cup,2010,Matchday 6,Spain,Switzerland,0,1,0,1,,,Team B Win,Group H,"Moses Mabhida Stadium, Durban",1,-1
6/21/2010,World Cup,2010,Matchday 11,Chile,Switzerland,1,0,1,0,,,Team A Win,Group H,"Nelson Mandela Bay Stadium, Port Elizabeth",1,1
6/21/2010,World Cup,2010,Matchday 11,Spain,Honduras,2,0,2,0,,,Team A Win,Group H,"Ellis Park Stadium, Johannesburg",2,2
6/25/2010,World Cup,2010,Matchday 15,Chile,Spain,1,2,1,2,,,Team B Win,Group H,"Loftus Versfeld Stadium, Pretoria",3,-1
6/25/2010,World Cup,2010,Matchday 15,Switzerland,Honduras,0,0,0,0,,,Draw,Group H,"Free State Stadium, Bloemfontein",0,0
6/26/2010,World Cup,2010,Round of 16,Uruguay,South Korea,2,1,2,1,,,Team A Win,,"Nelson Mandela Bay Stadium, Port Elizabeth",3,1
6/26/2010,World Cup,2010,Round of 16,USA,Ghana,1,2,1,1,,,Team B Win,,"Royal Bafokeng Stadium, Rustenburg",3,-1
6/27/2010,World Cup,2010,Round of 16,Germany,England,4,1,4,1,,,Team A Win,,"Free State Stadium, Bloemfontein",5,3
6/27/2010,World Cup,2010,Round of 16,Argentina,Mexico,3,1,3,1,,,Team A Win,,"Soccer City, Johannesburg",4,2
6/28/2010,World Cup,2010,Round of 16,Netherlands,Slovakia,2,1,2,1,,,Team A Win,,"Moses Mabhida Stadium, Durban",3,1
6/28/2010,World Cup,2010,Round of 16,Brazil,Chile,3,0,3,0,,,Team A Win,,"Ellis Park Stadium, Johannesburg",3,3
6/29/2010,World Cup,2010,Round of 16,Paraguay,Japan,0,0,0,0,5,3,Draw,,"Loftus Versfeld Stadium, Pretoria",0,0
6/29/2010,World Cup,2010,Round of 16,Spain,Portugal,1,0,1,0,,,Team A Win,,"Cape Town Stadium, Cape Town",1,1
7/2/2010,World Cup,2010,Quarterfinals,Netherlands,Brazil,2,1,2,1,,,Team A Win,,"Nelson Mandela Bay Stadium, Port Elizabeth",3,1
7/2/2010,World Cup,2010,Quarterfinals,Uruguay,Ghana,1,1,1,1,4,2,Draw,,"Soccer City, Johannesburg",2,0
7/3/2010,World Cup,2010,Quarterfinals,Argentina,Germany,0,4,0,4,,,Team B Win,,"Cape Town Stadium, Cape Town",4,-4
7/3/2010,World Cup,2010,Quarterfinals,Paraguay,Spain,0,1,0,1,,,Team B Win,,"Ellis Park Stadium, Johannesburg",1,-1
7/6/2010,World Cup,2010,Semifinals,Uruguay,Netherlands,2,3,2,3,,,Team B Win,,"Cape Town Stadium, Cape Town",5,-1
7/7/2010,World Cup,2010,Semifinals,Germany,Spain,0,1,0,1,,,Team B Win,,"Moses Mabhida Stadium, Durban",1,-1
7/10/2010,World Cup,2010,Third-place play-off,Uruguay,Germany,2,3,2,3,,,Team B Win,,"Nelson Mandela Bay Stadium, Port Elizabeth",5,-1
7/11/2010,World Cup,2010,Final,Netherlands,Spain,0,1,0,0,,,Team B Win,,"Soccer City, Johannesburg",1,-1
6/12/2014,World Cup,2014,Matchday 1,Brazil,Croatia,3,1,3,1,,,Team A Win,Group A,"Arena de São Paulo, São Paulo",4,2
6/13/2014,World Cup,2014,Matchday 2,Mexico,Cameroon,1,0,1,0,,,Team A Win,Group A,"Estádio das Dunas, Natal",1,1
6/17/2014,World Cup,2014,Matchday 6,Brazil,Mexico,0,0,0,0,,,Draw,Group A,"Estádio Castelão, Fortaleza",0,0
6/18/2014,World Cup,2014,Matchday 7,Cameroon,Croatia,0,4,0,4,,,Team B Win,Group A,"Arena Amazônia, Manaus",4,-4
6/23/2014,World Cup,2014,Matchday 12,Cameroon,Brazil,1,4,1,4,,,Team B Win,Group A,"Estádio Nacional Mané Garrincha, Brasília",5,-3
6/23/2014,World Cup,2014,Matchday 12,Croatia,Mexico,1,3,1,3,,,Team B Win,Group A,"Arena Pernambuco, Recife",4,-2
6/13/2014,World Cup,2014,Matchday 2,Spain,Netherlands,1,5,1,5,,,Team B Win,Group B,"Arena Fonte Nova, Salvador",6,-4
6/13/2014,World Cup,2014,Matchday 2,Chile,Australia,3,1,3,1,,,Team A Win,Group B,"Arena Pantanal, Cuiabá",4,2
6/18/2014,World Cup,2014,Matchday 7,Australia,Netherlands,2,3,2,3,,,Team B Win,Group B,"Estádio Beira-Rio, Porto Alegre",5,-1
6/18/2014,World Cup,2014,Matchday 7,Spain,Chile,0,2,0,2,,,Team B Win,Group B,"Estádio do Maracanã, Rio de Janeiro",2,-2
6/23/2014,World Cup,2014,Matchday 12,Australia,Spain,0,3,0,3,,,Team B Win,Group B,"Arena da Baixada, Curitiba",3,-3
6/23/2014,World Cup,2014,Matchday 12,Netherlands,Chile,2,0,2,0,,,Team A Win,Group B,"Arena de São Paulo, São Paulo",2,2
6/14/2014,World Cup,2014,Matchday 3,Colombia,Greece,3,0,3,0,,,Team A Win,Group C,"Estádio Mineirão, Belo Horizonte",3,3
6/14/2014,World Cup,2014,Matchday 3,Côte d'Ivoire,Japan,2,1,2,1,,,Team A Win,Group C,"Arena Pernambuco, Recife",3,1
6/19/2014,World Cup,2014,Matchday 8,Colombia,Côte d'Ivoire,2,1,2,1,,,Team A Win,Group C,"Estádio Nacional Mané Garrincha, Brasília",3,1
6/19/2014,World Cup,2014,Matchday 8,Japan,Greece,0,0,0,0,,,Draw,Group C,"Estádio das Dunas, Natal",0,0
