date,tournament,year,round,team_a,team_b,elo_a,elo_b,elo_diff,form_points_a,form_points_b,form_diff,avg_goals_for_a,avg_goals_for_b,goals_for_diff,avg_goals_against_a,avg_goals_against_b,goals_against_diff,avg_goal_diff_a,avg_goal_diff_b,recent_goal_diff,win_rate_a,win_rate_b,win_rate_diff,recent_games_a,recent_games_b,is_knockout,poisson_goals_a,poisson_goals_b
2010-06-11,World Cup,2010,Matchday 1,South Africa,Mexico,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,1
2010-06-11,World Cup,2010,Matchday 1,Uruguay,France,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,0
2010-06-12,World Cup,2010,Matchday 2,South Korea,Greece,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,2,0
2010-06-12,World Cup,2010,Matchday 2,Argentina,Nigeria,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,0
2010-06-12,World Cup,2010,Matchday 2,England,USA,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,1
2010-06-13,World Cup,2010,Matchday 3,Algeria,Slovenia,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,1
2010-06-13,World Cup,2010,Matchday 3,Serbia,Ghana,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,1
2010-06-13,World Cup,2010,Matchday 3,Germany,Australia,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,4,0
2010-06-14,World Cup,2010,Matchday 4,Netherlands,Denmark,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,2,0
2010-06-14,World Cup,2010,Matchday 4,Japan,Cameroon,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,0
2010-06-14,World Cup,2010,Matchday 4,Italy,Paraguay,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,1
2010-06-15,World Cup,2010,Matchday 5,New Zealand,Slovakia,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,1,1
2010-06-15,World Cup,2010,Matchday 5,Côte d'Ivoire,Portugal,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,0
2010-06-15,World Cup,2010,Matchday 5,Brazil,North Korea,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,2,1
2010-06-16,World Cup,2010,Matchday 6,South Africa,Uruguay,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,3
2010-06-16,World Cup,2010,Matchday 6,Honduras,Chile,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,1
2010-06-16,World Cup,2010,Matchday 6,Spain,Switzerland,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0,0,0,0,1
2010-06-17,World Cup,2010,Matchday 7,France,Mexico,1500.0,1500.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2
2010-06-17,World Cup,2010,Matchday 7,Argentina,South Korea,1515.0,1515.0,0.0,3.0,3.0,0.0,1.0,2.0,-1.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,1.0,0.0,1,1,0,4,1
2010-06-17,World Cup,2010,Matchday 7,Greece,Nigeria,1485.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,1,1,0,2,1
2010-06-18,World Cup,2010,Matchday 8,Slovenia,USA,1515.0,1500.0,15.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0,2,2
2010-06-18,World Cup,2010,Matchday 8,England,Algeria,1500.0,1485.0,15.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1,1,0,0,0
2010-06-18,World Cup,2010,Matchday 8,Germany,Serbia,1515.0,1485.0,30.0,3.0,0.0,3.0,4.0,0.0,4.0,0.0,1.0,-1.0,4.0,-1.0,5.0,1.0,0.0,1.0,1,1,0,0,1
2010-06-19,World Cup,2010,Matchday 9,Ghana,Australia,1515.0,1485.0,30.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,-4.0,1.0,-4.0,5.0,1.0,0.0,1.0,1,1,0,1,1
2010-06-19,World Cup,2010,Matchday 9,Netherlands,Japan,1515.0,1515.0,0.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1,1,0,1,0
2010-06-19,World Cup,2010,Matchday 9,Cameroon,Denmark,1485.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,-1.0,-2.0,1.0,0.0,0.0,0.0,1,1,0,1,2
2010-06-20,World Cup,2010,Matchday 10,Slovakia,Paraguay,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,2
2010-06-20,World Cup,2010,Matchday 10,Italy,New Zealand,1500.0,1500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,1
2010-06-20,World Cup,2010,Matchday 10,Brazil,Côte d'Ivoire,1515.0,1500.0,15.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,1,0,3,1
2010-06-21,World Cup,2010,Matchday 11,Portugal,North Korea,1500.0,1485.0,15.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,-1.0,1.0,0.0,0.0,0.0,1,1,0,7,0
2010-06-21,World Cup,2010,Matchday 11,Chile,Switzerland,1515.0,1515.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,1,0
2010-06-21,World Cup,2010,Matchday 11,Spain,Honduras,1485.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1,1,0,2,0
2010-06-22,World Cup,2010,Matchday 12,Mexico,Uruguay,1515.0,1515.0,0.0,2.0,2.0,0.0,1.5,1.5,0.0,0.5,0.0,0.5,1.0,1.5,-0.5,0.5,0.5,0.0,2,2,0,0,1
2010-06-22,World Cup,2010,Matchday 12,France,South Africa,1485.0,1485.0,0.0,0.5,0.5,0.0,0.0,0.5,-0.5,1.0,2.0,-1.0,-1.0,-1.5,0.5,0.0,0.0,0.0,2,2,0,1,2
2010-06-22,World Cup,2010,Matchday 12,Nigeria,South Korea,1470.0,1500.0,-30.0,0.0,1.5,-1.5,0.5,1.5,-1.0,1.5,2.0,-0.5,-1.0,-0.5,-0.5,0.0,0.5,-0.5,2,2,0,2,2
2010-06-22,World Cup,2010,Matchday 12,Greece,Argentina,1500.0,1530.0,-30.0,1.5,3.0,-1.5,1.0,2.5,-1.5,1.5,0.5,1.0,-0.5,2.0,-2.5,0.5,1.0,-0.5,2,2,0,0,2
2010-06-23,World Cup,2010,Matchday 13,USA,Algeria,1500.6471999915343,1485.6471999915343,15.0,1.0,0.5,0.5,1.5,0.0,1.5,1.5,0.5,1.0,0.0,-0.5,0.5,0.0,0.0,0.0,2,2,0,1,0
2010-06-23,World Cup,2010,Matchday 13,Slovenia,England,1514.3528000084657,1499.3528000084657,15.0,2.0,1.0,1.0,1.5,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,2,2,0,0,1
2010-06-23,World Cup,2010,Matchday 13,Australia,Serbia,1486.2919947606663,1501.2919947606663,-15.0,0.5,1.5,-1.0,0.5,0.5,0.0,2.5,0.5,2.0,-2.0,0.0,-2.0,0.0,0.5,-0.5,2,2,0,2,1
2010-06-23,World Cup,2010,Matchday 13,Ghana,Germany,1513.7080052393337,1498.7080052393337,15.0,2.0,1.5,0.5,1.0,2.0,-1.0,0.5,0.5,0.0,0.5,1.5,-1.0,0.5,0.5,0.0,2,2,0,0,1
2010-06-24,World Cup,2010,Matchday 14,Denmark,Japan,1500.0,1500.0,0.0,1.5,1.5,0.0,1.0,0.5,0.5,1.5,0.5,1.0,-0.5,0.0,-0.5,0.5,0.5,0.0,2,2,0,1,3
2010-06-24,World Cup,2010,Matchday 14,Cameroon,Netherlands,1470.0,1530.0,-60.0,0.0,3.0,-3.0,0.5,1.5,-1.0,1.5,0.0,1.5,-1.0,1.5,-2.5,0.0,1.0,-1.0,2,2,0,1,2
2010-06-24,World Cup,2010,Matchday 14,Slovakia,Italy,1485.0,1500.0,-15.0,0.5,1.0,-0.5,0.5,1.0,-0.5,1.5,1.0,0.5,-1.0,0.0,-1.0,0.0,0.0,0.0,2,2,0,3,2
2010-06-24,World Cup,2010,Matchday 14,Paraguay,New Zealand,1515.0,1500.0,15.0,2.0,1.0,1.0,1.5,1.0,0.5,0.5,1.0,-0.5,1.0,0.0,1.0,0.5,0.0,0.5,2,2,0,0,0
2010-06-25,World Cup,2010,Matchday 15,Portugal,Brazil,1514.3528000084657,1529.3528000084657,-15.0,2.0,3.0,-1.0,3.5,2.5,1.0,0.0,1.0,-1.0,3.5,1.5,2.0,0.5,1.0,-0.5,2,2,0,0,0
2010-06-25,World Cup,2010,Matchday 15,North Korea,Côte d'Ivoire,1470.6471999915343,1485.6471999915343,-15.0,0.0,0.5,-0.5,0.5,0.5,0.0,4.5,1.5,3.0,-4.0,-1.0,-3.0,0.0,0.0,0.0,2,2,0,0,3
2010-06-25,World Cup,2010,Matchday 15,Chile,Spain,1530.0,1500.0,30.0,3.0,1.5,1.5,1.0,1.0,0.0,0.0,0.5,-0.5,1.0,0.5,0.5,1.0,0.5,0.5,2,2,0,1,2
2010-06-25,World Cup,2010,Matchday 15,Switzerland,Honduras,1500.0,1470.0,30.0,1.5,0.0,1.5,0.5,0.0,0.5,0.5,1.5,-1.0,0.0,-1.5,1.5,0.5,0.0,0.5,2,2,0,0,0
2010-06-26,World Cup,2010,Round of 16,Uruguay,South Korea,1530.0,1498.7080052393337,31.291994760666284,2.3333333333333335,1.3333333333333333,1.0000000000000002,1.3333333333333333,1.6666666666666667,-0.3333333333333335,0.0,2.0,-2.0,1.3333333333333333,-0.3333333333333333,1.6666666666666665,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,3,1,2,1
2010-06-26,World Cup,2010,Round of 16,USA,Ghana,1515.0,1498.0608052477994,16.939194752200592,1.6666666666666667,1.3333333333333333,0.3333333333333335,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,3,1,1,1
2010-06-27,World Cup,2010,Round of 16,Germany,England,1514.355205230868,1515.0,-0.6447947691319769,2.0,1.6666666666666667,0.33333333333333326,1.6666666666666667,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,3,3,1,4,1
2010-06-27,World Cup,2010,Round of 16,Argentina,Mexico,1543.7080052393337,1500.0,43.708005239333716,3.0,1.3333333333333333,1.6666666666666667,2.3333333333333335,1.0,1.3333333333333335,0.3333333333333333,0.6666666666666666,-0.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666667,3,3,1,3,1
2010-06-28,World Cup,2010,Round of 16,Netherlands,Slovakia,1542.4350396398456,1500.6471999915343,41.78783964831132,3.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333335,0.3333333333333333,1.6666666666666667,-1.3333333333333335,1.3333333333333333,-0.3333333333333333,1.6666666666666665,1.0,0.3333333333333333,0.6666666666666667,3,3,1,2,1
