Feature,Importance
win_rate_a,0.05840662
win_rate_diff,0.057158627
elo_diff,0.05346211
avg_goals_for_a,0.05195746
recent_games_b,0.051649004
avg_goal_diff_a,0.050551414
goals_for_diff,0.05032704
elo_b,0.05009336
is_knockout,0.049099136
avg_goals_for_b,0.046766505
form_diff,0.046290495
form_points_a,0.045380387
avg_goal_diff_b,0.044914212
elo_a,0.044651162
recent_goal_diff,0.044439152
form_points_b,0.044028737
avg_goals_against_a,0.043468654
goals_against_diff,0.04336889
win_rate_b,0.043239255
avg_goals_against_b,0.04203845
recent_games_a,0.03870933
